Phe,fnumber,cvid,pearson
DTT,12,cv0,0.45274933803297457
DTT,12,cv2,0.41135815761038824
DTT,12,cv1,0.4377625087567151
DTT,12,cv3,0.44817148202136836
DTT,12,cv4,0.3508146658659659
DTT,12,cv5,0.42729772039224406
DTT,12,cv6,0.40453085219286206
DTT,12,cv7,0.44642486157167255
DTT,12,cv8,0.46119992027893975
DTT,12,cv9,0.4269513925107639
DTT,12,cv10,0.4003240441870816
DTT,12,cv11,0.38433973290900797
DTT,12,cv12,0.5430813362926599
DTT,12,cv13,0.4812757828010721
DTT,12,cv14,0.44688729379227815
DTT,12,cv15,0.406952289691473
DTT,12,cv16,0.539986026027487
DTT,12,cv17,0.39123424832582643
DTT,12,cv18,0.41084802293408873
DTT,12,cv20,0.4138625095320273
DTT,12,cv21,0.35797667224822893
DTT,12,cv22,0.5188605599312004
DTT,12,cv23,0.4520970417195609
DTT,12,cv24,0.37023821536410806
DTT,12,cv25,0.4024498531509309
DTT,12,cv19,0.36709339254790224
DTT,12,cv26,0.41757977990764705
DTT,12,cv27,0.4241450125584726
DTT,12,cv28,0.374864549727989
DTT,12,cv29,0.49574240871010844
DTT,24,cv0,0.5349603800664027
DTT,24,cv1,0.4765554516523002
DTT,24,cv2,0.5410915307467049
DTT,24,cv3,0.5374364018994854
DTT,24,cv4,0.46781119639090823
DTT,24,cv5,0.48761466636417716
DTT,24,cv6,0.4546118974129272
DTT,24,cv7,0.5382652227892697
DTT,24,cv8,0.4802528834772898
DTT,24,cv9,0.4631990588589241
DTT,24,cv10,0.47560266645936716
DTT,24,cv11,0.4763933610879121
DTT,24,cv12,0.6102274113624231
DTT,24,cv13,0.5058051852031936
DTT,24,cv14,0.549312857829775
DTT,24,cv15,0.44297811916144625
DTT,24,cv16,0.5861558258219259
DTT,24,cv17,0.49010098180406103
DTT,24,cv18,0.49071244060465213
DTT,24,cv19,0.4430006700592709
DTT,24,cv20,0.5114316330326701
DTT,24,cv21,0.44638513585804984
DTT,24,cv22,0.5571716884265117
DTT,24,cv23,0.506230113404551
DTT,24,cv24,0.4664303818773502
DTT,24,cv25,0.4374055218335654
DTT,24,cv26,0.4709325486684983
DTT,24,cv28,0.486580336892343
DTT,24,cv27,0.44032009152853924
DTT,24,cv29,0.5629970744894387
DTT,48,cv0,0.5804090823281156
DTT,48,cv3,0.6166172366587677
DTT,48,cv1,0.5452433667616208
DTT,48,cv2,0.5598287064148023
DTT,48,cv4,0.5383307774155184
DTT,48,cv5,0.5372024630357131
DTT,48,cv6,0.5019501804373354
DTT,48,cv7,0.5972423271200793
DTT,48,cv9,0.5163179323125754
DTT,48,cv8,0.5313749335505418
DTT,48,cv10,0.5182111168327104
DTT,48,cv11,0.5291129765496372
DTT,48,cv12,0.5949112670626484
DTT,48,cv14,0.5783273567522436
DTT,48,cv13,0.5868573749765231
DTT,48,cv15,0.5080130426911065
DTT,48,cv16,0.6071198183026019
DTT,48,cv17,0.5431739820934519
DTT,48,cv18,0.5380411998521362
DTT,48,cv19,0.5108851259139335
DTT,48,cv20,0.5861653524493852
DTT,48,cv21,0.5329504404502099
DTT,48,cv22,0.6170295525075224
DTT,48,cv23,0.5716080429390424
DTT,48,cv24,0.5070629992019007
DTT,48,cv25,0.5177278727318084
DTT,48,cv26,0.5221704342945985
DTT,48,cv27,0.5533583185682229
DTT,48,cv28,0.5267789600665982
DTT,48,cv29,0.5942888321861376
DTT,96,cv0,0.598729035591092
DTT,96,cv3,0.6403123132885408
DTT,96,cv1,0.5922967394661334
DTT,96,cv2,0.5820974947414471
DTT,96,cv4,0.565555198256645
DTT,96,cv5,0.5392713383801118
DTT,96,cv6,0.5541570974943735
