Phe,random_id,fnumber,cvid,pearson
DTT,Random_0,12,cv1,0.281635852726793
DTT,Random_0,12,cv0,0.316372153271272
DTT,Random_0,12,cv2,0.292089154030791
DTT,Random_0,12,cv3,0.318794123007596
DTT,Random_0,12,cv4,0.270474535700356
DTT,Random_0,12,cv5,0.31936293275907
DTT,Random_0,12,cv6,0.200527977105069
DTT,Random_0,12,cv7,0.276383018364742
DTT,Random_0,12,cv8,0.405476787168311
DTT,Random_0,12,cv9,0.204799603349042
DTT,Random_0,12,cv10,0.330199845228114
DTT,Random_0,12,cv11,0.256092691423905
DTT,Random_0,12,cv12,0.296286590601551
DTT,Random_0,12,cv13,0.26397136482982
DTT,Random_0,12,cv14,0.295725230639733
DTT,Random_0,12,cv15,0.249039107369783
DTT,Random_0,12,cv16,0.288140925361351
DTT,Random_0,12,cv17,0.240257313552869
DTT,Random_0,12,cv18,0.245512757720493
DTT,Random_0,12,cv19,0.204104147868769
DTT,Random_0,12,cv20,0.248569360258441
DTT,Random_0,12,cv21,0.307413796959626
DTT,Random_0,12,cv22,0.23020147851931
DTT,Random_0,12,cv23,0.281433764380375
DTT,Random_0,12,cv24,0.24777190064881
DTT,Random_0,12,cv25,0.182657150643489
DTT,Random_0,12,cv26,0.255553795926492
DTT,Random_0,12,cv27,0.176048817544036
DTT,Random_0,12,cv28,0.267130708990736
DTT,Random_0,12,cv29,0.251807183027865
DTT,Random_0,24,cv0,0.389950620637386
DTT,Random_0,24,cv1,0.318561737990725
DTT,Random_0,24,cv2,0.310865951475784
DTT,Random_0,24,cv4,0.293835534535756
DTT,Random_0,24,cv3,0.357505387004062
DTT,Random_0,24,cv5,0.371883013827011
DTT,Random_0,24,cv6,0.302491228659962
DTT,Random_0,24,cv7,0.382604822347768
DTT,Random_0,24,cv9,0.272668901767024
DTT,Random_0,24,cv8,0.361034143379573
DTT,Random_0,24,cv10,0.344024321459987
DTT,Random_0,24,cv11,0.289616715050826
DTT,Random_0,24,cv12,0.357642908841712
DTT,Random_0,24,cv13,0.318834213015819
DTT,Random_0,24,cv14,0.359721224817029
DTT,Random_0,24,cv15,0.370996233752016
DTT,Random_0,24,cv16,0.372146653965006
DTT,Random_0,24,cv17,0.317094990647319
DTT,Random_0,24,cv18,0.302121199757751
DTT,Random_0,24,cv19,0.279292283621053
DTT,Random_0,24,cv20,0.349349106123095
DTT,Random_0,24,cv21,0.360996282849431
DTT,Random_0,24,cv22,0.358321214415716
DTT,Random_0,24,cv24,0.249199387020276
DTT,Random_0,24,cv23,0.362156971540976
DTT,Random_0,24,cv25,0.281494820976853
DTT,Random_0,24,cv26,0.419488335636652
DTT,Random_0,24,cv28,0.320082038625717
DTT,Random_0,24,cv27,0.276720234652716
DTT,Random_0,24,cv29,0.360033875862571
DTT,Random_0,48,cv0,0.438266268248323
DTT,Random_0,48,cv1,0.432995273664541
DTT,Random_0,48,cv3,0.510525549125785
DTT,Random_0,48,cv2,0.401862129373984
DTT,Random_0,48,cv4,0.403216718961553
DTT,Random_0,48,cv6,0.378470890600627
DTT,Random_0,48,cv5,0.447015144793333
DTT,Random_0,48,cv7,0.47734294116772
DTT,Random_0,48,cv8,0.481208036148892
