Phe,fnumber,cvid,pearson
DTT,12,cv0,0.280985826362467
DTT,12,cv3,0.38103183291369
DTT,12,cv1,0.310406398470026
DTT,12,cv2,0.258762489249441
DTT,12,cv4,0.202838736916039
DTT,12,cv5,0.281695786947599
DTT,12,cv6,0.206082916309789
DTT,12,cv7,0.263880169566178
DTT,12,cv8,0.27713132750353
DTT,12,cv9,0.231531324254046
DTT,12,cv10,0.210778468741511
DTT,12,cv11,0.265926091864962
DTT,12,cv12,0.294704139822191
DTT,12,cv13,0.2770651233394
DTT,12,cv14,0.263491667666016
DTT,12,cv15,0.261614850015077
DTT,12,cv16,0.300428730794107
DTT,12,cv17,0.269743336387936
DTT,12,cv18,0.311413538863432
DTT,12,cv19,0.191141354809884
DTT,12,cv20,0.232843156655341
DTT,12,cv21,0.274664048474541
DTT,12,cv23,0.139024460386659
DTT,12,cv22,0.249402225867267
DTT,12,cv24,0.274305643761932
DTT,12,cv25,0.260716056423254
DTT,12,cv26,0.297145894025796
DTT,12,cv27,0.223972678180833
DTT,12,cv28,0.256196025716175
DTT,12,cv29,0.253228295384775
DTT,24,cv0,0.373129016096637
DTT,24,cv1,0.290901598345323
DTT,24,cv2,0.323176174738522
DTT,24,cv3,0.454261976554501
DTT,24,cv4,0.330488783369871
DTT,24,cv5,0.358595452935388
DTT,24,cv6,0.258953954772483
DTT,24,cv7,0.410306125562838
DTT,24,cv8,0.309053039770921
DTT,24,cv10,0.284928434195055
DTT,24,cv9,0.271914900155704
DTT,24,cv11,0.254385972905219
DTT,24,cv12,0.383402161155719
DTT,24,cv13,0.416883614779836
DTT,24,cv14,0.390307027365215
DTT,24,cv15,0.28712776115159
DTT,24,cv16,0.385612395304388
DTT,24,cv17,0.377541921649879
DTT,24,cv18,0.333201545016991
DTT,24,cv19,0.25744758125638
DTT,24,cv20,0.335547025862225
DTT,24,cv21,0.343227053736043
DTT,24,cv22,0.328092701757197
DTT,24,cv23,0.340947836728379
DTT,24,cv24,0.402663258269361
DTT,24,cv25,0.387740436550753
DTT,24,cv26,0.341222150375075
DTT,24,cv27,0.356880277331533
DTT,24,cv28,0.340021333160391
