seqname,DTT,PH,EW,cv0,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10,cv11,cv12,cv13,cv14,cv15,cv16,cv17,cv18,cv19,cv20,cv21,cv22,cv23,cv24,cv25,cv26,cv27,cv28,cv29
5237,68.8675635466986,210.063141198691,110.957380372275,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1
81515,69.9335432221014,201.788627266023,110.534346043817,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1
CHANG7-2,73.2067423874295,185.687010891431,83.7343989038138,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,4,4,4,1,1,1
DAN340,74.9044378944434,206.662224000142,116.71638955053,1,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,4,1,4,4,1,1,1,1,4,1,4,4,1
E28,73.7533037256279,178.116645207247,90.2575041173013,4,4,4,1,4,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1
F349,73.5756404463941,160.354145785653,109.956583206117,4,1,1,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
H21,70.8218596182703,185.406761298318,66.8918531738514,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4
HUANGC,70.288869780569,229.862539295714,128.537995722858,1,1,4,1,4,1,4,1,1,4,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,1,1,4,4,1
HYS,68.6899002674648,156.68277522229,78.1886803964577,1,1,1,1,4,1,4,1,1,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4
HZS,70.6441963390366,181.367015438935,68.2659879038065,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,4,1
JI53,69.4005533844,187.966814807705,89.8608065563734,1,1,4,4,1,4,1,1,1,4,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,4,4,4,1,1
JI853,71.2660178163548,203.274510800509,105.854631663244,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,4,1,1
K12,74.0642144642871,215.823261587846,94.0890922809939,1,4,4,1,1,1,1,1,4,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LV28,68.512236988231,181.28343449012,86.3794150984378,1,4,4,1,4,1,1,1,1,4,1,1,1,4,1,1,1,4,4,1,1,1,1,1,1,4,1,4,4,1
LX9801,71.6213443748224,240.864268635397,118.641955323279,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4
MG_100,67.4076485419302,222.571856911037,81.19429044284,1,4,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1
MG_1000,66.9132674751269,204.249621870015,142.975482473474,1,4,1,1,1,1,1,1,1,4,1,1,1,1,4,1,4,1,4,1,1,1,1,4,1,1,4,4,1,1
MG_1001,71.24685909207,211.485166306644,110.934439789841,1,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
MG_1002,69.1527442465392,203.061861890672,78.3361411856627,1,1,4,1,1,4,1,4,1,1,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,4,1,1
MG_1003,68.4547059646956,219.263359881131,84.7313048696831,4,1,1,4,1,1,1,4,1,4,1,4,1,1,1,1,4,4,4,1,1,1,1,1,1,4,1,1,1,1
MG_1004,64.4409858440949,171.267113274585,107.863638136497,1,1,1,1,1,1,1,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
MG_1005,69.501763387461,180.206506363746,63.9994967531991,4,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,4,4,1,1,1,4,1,1,1,1,1,1
MG_1006,64.0919667031731,215.613875692154,105.026653867925,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,4
MG_1007,64.9645145554776,168.29960340375,81.8982175575245,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,4,1
MG_1008,73.1664643671399,233.206969926389,84.0384838952148,4,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
MG_1009,69.6762729579219,236.00859415227,102.177694012728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,1,1,1,4,1,4
MG_101,70.3743112397655,195.54171265278,90.3974794940004,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4
MG_1010,69.6762729579219,177.441745614521,90.8027629609391,1,1,1,1,1,4,1,4,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,1,4,4,1,4
MG_1011,68.8037251056174,233.695410992085,108.328674929904,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,4,4,1,1,1,4,1,1,1,1,4,1
MG_1012,68.8037251056174,195.523280914452,101.337535129886,1,1,1,1,1,4,1,1,1,1,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1
MG_1013,66.1860815487039,244.736022250657,82.7360631862922,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4
MG_1014,62.3468709985641,220.505659044449,114.132542019858,1,4,1,4,1,4,4,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,4,1,1,4,1,1
MG_1015,66.7096102600866,210.250239838657,86.7265465530741,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
MG_1016,67.5821581123911,182.146446822785,72.713091292383,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,4,4,1,4,4,1,1,1,1
MG_1017,68.8037251056174,250.219464403287,78.1376546191021,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1018,68.1056868237738,218.304909488066,97.0572423493333,4,1,1,4,1,1,1,4,1,1,1,1,1,4,4,1,1,1,1,4,1,1,4,4,1,1,4,1,4,1
MG_1019,74.2135217899053,198.684324037733,82.7858515812142,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,1,1
MG_102,65.8370624077821,200.57357721637,100.849116593326,1,1,1,4,1,1,4,1,1,1,1,4,1,4,4,1,4,1,4,1,1,4,1,1,1,1,1,1,1,4
MG_1020,71.4213686625309,240.340052659389,58.3463119830718,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,4,1,1,1,1,1,4,4,1
MG_1021,71.3548494559717,204.537511804822,104.288417019166,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1
MG_1022,67.2331389714693,229.566701606576,77.1764053700739,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,4,4,1,1,4,4,1,1,1,4,1,1,1
MG_1023,69.501763387461,228.460797306886,83.141346653231,1,4,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,4,1,1,4,1,4,4
MG_1024,65.1390241259385,202.942055591539,100.147664439008,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1
