,maize,switchgrass,rice,sorghum,soy,spruce
cv0,0.396359304562628,0.58675339950535,0.355689873285585,0.527676391628101,0.477992877927328,0.314566501613384
cv1,0.429839957829268,0.581073346672896,0.452086927992748,0.575643907034608,0.478189641097363,0.311998249450653
cv2,0.419660832824524,0.603252701664277,0.42377607009932,0.571799653604506,0.480024522541111,0.305484413259232
cv3,0.413455882760954,0.595244887828329,0.431155307088115,0.536778052356686,0.480275999939212,0.302727518010605
cv4,0.419685432708471,0.605055082378006,0.43897384254392,0.537291886478222,0.476166150761589,0.310154156461558
cv5,0.349931490036976,0.585106882516766,0.390308273345305,0.603242693138645,0.483874555056011,0.288672663557791
cv6,0.386666284370873,0.610084517870899,0.432661505851688,0.555518896011927,0.475187755777503,0.312596697116657
cv7,0.36623327266245,0.600204574525918,0.370088207188097,0.573072023207222,0.475174319333966,0.312363458948959
cv8,0.395817121792135,0.589236284459326,0.420638039905592,0.558585700764184,0.48466496613182,0.303729382269024
cv9,0.412757526838489,0.603666152753739,0.369941051496272,0.569858704832916,0.480110754217518,0.305877235953821
cv10,0.425567504689351,0.605834957887896,0.439421119588863,0.540072475301621,0.488873587026346,0.306936361574779
cv11,0.382446556362911,0.60128602807207,0.377812488892754,0.554490856680851,0.475298845683647,0.316383763358496
cv12,0.405429814354155,0.618292537295411,0.402319689829317,0.574557380992798,0.47430446790308,0.291048718915981
cv13,0.390588492989302,0.609912771066998,0.405905506478159,0.588156185837849,0.477369356194194,0.309076653031944
cv14,0.403432553104673,0.611516405398317,0.408358477595771,0.564105596800855,0.480201527900881,0.306590538262601
cv15,0.412316376956382,0.617404548147631,0.419237618070941,0.599721048343913,0.481216279543046,0.309502714195839
cv16,0.42361157928754,0.608448280784725,0.41480559819072,0.581016082415003,0.476854946226504,0.297899382563976
cv17,0.399210763269728,0.596782583694438,0.393376060287156,0.546181284470961,0.481641805618916,0.31012691943379
cv18,0.414042625081343,0.599359147001764,0.426558102600447,0.590307493743406,0.475949125749321,0.318657913728275
cv19,0.456128602169689,0.5904027118356,0.384702309814336,0.566630943190916,0.480944334374539,0.319369233676108
cv20,0.420477304906856,0.591845074839394,0.392784244590674,0.539182919737738,0.474366053255092,0.305371450673522
cv21,0.379854425720327,0.589471949819506,0.441012883491911,0.59982626883439,0.490361363457937,0.286610759360726
cv22,0.389741967533855,0.614585166123672,0.442627130585728,0.557792795745658,0.479248612869386,0.288278747104394
cv23,0.375033598461757,0.588733627733488,0.448860055434616,0.543356779645698,0.478520041702677,0.284444696411808
cv24,0.397518263549085,0.610018371640895,0.385039593082447,0.581052336787813,0.47529573825226,0.298273506184079
cv25,0.466499985928108,0.599294535514237,0.410358721536065,0.595219534210861,0.47466916463433,0.29569804678823
cv26,0.461684223829612,0.608134111639442,0.449524770099406,0.552018921142492,0.48068166552214,0.317572541311856
cv27,0.411168997995468,0.591903980022972,0.391356556160965,0.591121010867225,0.48185704560855,0.285595774399374
cv28,0.449898161512568,0.601832985648161,0.386344563377136,0.553447117654065,0.483877817733915,0.290237209956838
cv29,0.393109825650468,0.573647666216912,0.404277920475737,0.580426620412103,0.477199905946145,0.320734942281775
cv30,0.403780016312054,0.6003382389613,0.428926475907396,0.576741448386424,0.481929162359244,0.30369619157326
cv31,0.375593131827712,0.602127654701376,0.416542806758114,0.545384079981157,0.476110194264533,0.294602978583168
cv32,0.390848404136349,0.599182281937359,0.335591612546494,0.582248565727033,0.484350283095025,0.302671623844776
cv33,0.437133959296923,0.580204610069649,0.396377949551885,0.577591506733342,0.479151242578736,0.303452375515062
cv34,0.410827827076767,0.606031560531772,0.366973709046821,0.570716645063262,0.477540814708157,0.30985158521922
cv35,0.478574663524112,0.613277650762936,0.36902114812388,0.551436530063981,0.481943163392137,0.317632833374564
cv36,0.390806329329897,0.59746956741493,0.408469270565012,0.570160112273085,0.486873489806087,0.297085576809641
cv37,0.407583542722009,0.609112113036235,0.426506778896887,0.560601860877254,0.484628471474011,0.298832732734862
cv38,0.390698802049569,0.607647228245077,0.465255597505074,0.576779527216709,0.486524290301351,0.311612490588404
cv39,0.387103428052029,0.604312944993353,0.404531040941666,0.556893764973284,0.4817848534665,0.316716541222557
cv40,0.448499088427576,0.619747564656344,0.416358099242057,0.559532743777486,0.478988337520792,0.277288108774475
cv41,0.40360171302748,0.597063673323029,0.38853122134494,0.555702949130052,0.478879071281283,0.298220345953081
cv42,0.429154570010054,0.57855565456462,0.407074641218278,0.543415326896554,0.476228158450102,0.318161641137102
cv43,0.390431900585505,0.595577810466572,0.423284962726931,0.55192548507999,0.478809128497371,0.265895258112562
cv44,0.345907208237728,0.608861143880607,0.466372725045404,0.570401678050767,0.478986289658001,0.30743417009618
cv45,0.43293285630859,0.592684276777644,0.405259705533993,0.549819564783374,0.483759658645956,0.330033305792636
cv46,0.436942349703408,0.606327771132993,0.471720520006524,0.574916422450312,0.481141769688096,0.31211965114346
cv47,0.427518480438039,0.612534813941136,0.433764729600876,0.575481997516747,0.482711739377327,0.29589779055778
cv48,0.43743474346661,0.591484966410623,0.424567228372682,0.564358011198446,0.486011483173019,0.291501476020714
cv49,0.397137294572537,0.595625198684538,0.414807520489392,0.577694869597045,0.487500104064215,0.301897933548957
cv50,0.400875311378678,0.588678517645924,0.355374051503995,0.56492467870804,0.475648864390832,0.300223314084222
cv51,0.354500855599415,0.594771362965293,0.374044362034294,0.577927678006813,0.478142686607463,0.306544570205958
cv52,0.381445976805001,0.584161345041435,0.391345837150254,0.536686418289543,0.481127917549569,0.302837764979711
cv53,0.399648581231906,0.586224199553532,0.349880016409555,0.557039821380058,0.48153304312573,0.294417947751268
cv54,0.411523862770684,0.617494206949838,0.385005311671567,0.556079820642963,0.491134267788462,0.321615468885205
cv55,0.359677663968166,0.608750486713052,0.452210713032427,0.537267847030238,0.491793488067047,0.274835100255575
cv56,0.39425051876023,0.592508026785982,0.395951838208717,0.542281145142264,0.479674557633249,0.319413666711509
