seqname,paternal_line,pop_class,DTT
CUBIC_72_X_Tester_25,Tester_25,Reid,0.5408204825240001
CUBIC_74_X_Tester_25,Tester_25,Reid,0.176112246932
CUBIC_75_X_Tester_25,Tester_25,Reid,2.0793823313099997
CUBIC_79_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_96_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_99_X_Tester_25,Tester_25,Reid,-0.165616761117
CUBIC_110_X_Tester_25,Tester_25,Reid,0.399533033796
CUBIC_114_X_Tester_25,Tester_25,Reid,
CUBIC_116_X_Tester_25,Tester_25,Reid,1.10597027744
CUBIC_136_X_Tester_25,Tester_25,Reid,-0.8720540047579999
CUBIC_145_X_Tester_25,Tester_25,Reid,-0.165616761117
CUBIC_162_X_Tester_25,Tester_25,Reid,-0.73076655603
CUBIC_166_X_Tester_25,Tester_25,Reid,0.5408204825240001
CUBIC_167_X_Tester_25,Tester_25,Reid,-1.29591635094
CUBIC_176_X_Tester_25,Tester_25,Reid,1.38854517489
CUBIC_179_X_Tester_25,Tester_25,Reid,1.9536949698099997
CUBIC_180_X_Tester_25,Tester_25,Reid,1.10597027744
CUBIC_184_X_Tester_25,Tester_25,Reid,-0.73076655603
CUBIC_186_X_Tester_25,Tester_25,Reid,-1.29591635094
CUBIC_187_X_Tester_25,Tester_25,Reid,-1.43720379967
CUBIC_188_X_Tester_25,Tester_25,Reid,-1.43720379967
CUBIC_194_X_Tester_25,Tester_25,Reid,1.10597027744
CUBIC_46_X_Tester_25,Tester_25,Reid,-0.306904209845
CUBIC_134_X_Tester_25,Tester_25,Reid,-2.1436410433099997
CUBIC_127_X_Tester_25,Tester_25,Reid,-1.0133414534899998
CUBIC_22_X_Tester_25,Tester_25,Reid,-0.0243293123887
CUBIC_43_X_Tester_25,Tester_25,Reid,-0.8720540047579999
CUBIC_169_X_Tester_25,Tester_25,Reid,-1.43720379967
CUBIC_26_X_Tester_25,Tester_25,Reid,0.5408204825240001
CUBIC_30_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_38_X_Tester_25,Tester_25,Reid,-1.15462890221
CUBIC_42_X_Tester_25,Tester_25,Reid,0.6821079312530001
CUBIC_49_X_Tester_25,Tester_25,Reid,-0.0243293123887
CUBIC_52_X_Tester_25,Tester_25,Reid,-0.589479107302
CUBIC_54_X_Tester_25,Tester_25,Reid,-1.15462890221
CUBIC_61_X_Tester_25,Tester_25,Reid,1.10597027744
CUBIC_124_X_Tester_25,Tester_25,Reid,-1.29591635094
CUBIC_3_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_206_X_Tester_25,Tester_25,Reid,1.10597027744
CUBIC_14_X_Tester_25,Tester_25,Reid,0.5408204825240001
CUBIC_204_X_Tester_25,Tester_25,Reid,
CUBIC_13_X_Tester_25,Tester_25,Reid,
CUBIC_207_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_170_X_Tester_25,Tester_25,Reid,0.964682828709
CUBIC_175_X_Tester_25,Tester_25,Reid,-0.306904209845
CUBIC_67_X_Tester_25,Tester_25,Reid,1.2472577261700002
CUBIC_82_X_Tester_25,Tester_25,Reid,1.2472577261700002
CUBIC_86_X_Tester_25,Tester_25,Reid,-0.8720540047579999
CUBIC_89_X_Tester_25,Tester_25,Reid,-1.29591635094
CUBIC_92_X_Tester_25,Tester_25,Reid,0.11695813634000002
CUBIC_98_X_Tester_25,Tester_25,Reid,0.399533033796
CUBIC_107_X_Tester_25,Tester_25,Reid,1.38854517489
CUBIC_109_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_112_X_Tester_25,Tester_25,Reid,1.04123501256
CUBIC_119_X_Tester_25,Tester_25,Reid,1.38854517489
CUBIC_123_X_Tester_25,Tester_25,Reid,1.5298326236200002
CUBIC_139_X_Tester_25,Tester_25,Reid,2.09498241853
CUBIC_142_X_Tester_25,Tester_25,Reid,
CUBIC_144_X_Tester_25,Tester_25,Reid,
CUBIC_146_X_Tester_25,Tester_25,Reid,-1.29591635094
CUBIC_156_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_164_X_Tester_25,Tester_25,Reid,
CUBIC_168_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_173_X_Tester_25,Tester_25,Reid,0.11695813634000002
CUBIC_174_X_Tester_25,Tester_25,Reid,-1.71977869713
CUBIC_181_X_Tester_25,Tester_25,Reid,-0.73076655603
CUBIC_185_X_Tester_25,Tester_25,Reid,-0.73076655603
CUBIC_189_X_Tester_25,Tester_25,Reid,-2.28492849204
CUBIC_192_X_Tester_25,Tester_25,Reid,-0.0243293123887
CUBIC_131_X_Tester_25,Tester_25,Reid,-2.42621594077
CUBIC_34_X_Tester_25,Tester_25,Reid,-0.165616761117
CUBIC_35_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_37_X_Tester_25,Tester_25,Reid,-2.00235359458
CUBIC_40_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_45_X_Tester_25,Tester_25,Reid,0.964682828709
CUBIC_129_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_150_X_Tester_25,Tester_25,Reid,-1.15462890221
CUBIC_20_X_Tester_25,Tester_25,Reid,0.258245585068
CUBIC_53_X_Tester_25,Tester_25,Reid,-0.589479107302
CUBIC_56_X_Tester_25,Tester_25,Reid,-2.28492849204
CUBIC_57_X_Tester_25,Tester_25,Reid,-0.0243293123887
CUBIC_60_X_Tester_25,Tester_25,Reid,-0.8720540047579999
CUBIC_69_X_Tester_25,Tester_25,Reid,-0.73076655603
CUBIC_105_X_Tester_25,Tester_25,Reid,-1.15462890221
CUBIC_122_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_5_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_10_X_Tester_25,Tester_25,Reid,-1.86106614586
CUBIC_202_X_Tester_25,Tester_25,Reid,1.5298326236200002
CUBIC_205_X_Tester_25,Tester_25,Reid,1.10597027744
CUBIC_203_X_Tester_25,Tester_25,Reid,0.6821079312530001
CUBIC_7_X_Tester_25,Tester_25,Reid,-1.15462890221
CUBIC_64_X_Tester_25,Tester_25,Reid,0.522161353182
CUBIC_73_X_Tester_25,Tester_25,Reid,1.2472577261700002
CUBIC_78_X_Tester_25,Tester_25,Reid,0.964682828709
CUBIC_84_X_Tester_25,Tester_25,Reid,-1.0133414534899998
CUBIC_95_X_Tester_25,Tester_25,Reid,-0.165616761117
CUBIC_106_X_Tester_25,Tester_25,Reid,-1.5784912484
CUBIC_113_X_Tester_25,Tester_25,Reid,0.11695813634000002
CUBIC_117_X_Tester_25,Tester_25,Reid,-0.0243293123887
CUBIC_128_X_Tester_25,Tester_25,Reid,-0.589479107302
CUBIC_130_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_133_X_Tester_25,Tester_25,Reid,0.399533033796
CUBIC_143_X_Tester_25,Tester_25,Reid,0.6821079312530001
CUBIC_148_X_Tester_25,Tester_25,Reid,
CUBIC_159_X_Tester_25,Tester_25,Reid,0.258245585068
CUBIC_160_X_Tester_25,Tester_25,Reid,0.823395379981
CUBIC_161_X_Tester_25,Tester_25,Reid,-0.448191658573
CUBIC_163_X_Tester_25,Tester_25,Reid,1.8124075210799997
