chr,loc,snpid
Chr1,1031852,Chr1_1031852
Chr1,1032107,Chr1_1032107
Chr1,10105806,Chr1_10105806
Chr1,102710235,Chr1_102710235
Chr1,102710245,Chr1_102710245
Chr1,102711966,Chr1_102711966
Chr1,102712355,Chr1_102712355
Chr1,102712953,Chr1_102712953
Chr1,102718016,Chr1_102718016
Chr1,102719816,Chr1_102719816
Chr1,102720341,Chr1_102720341
Chr1,102720946,Chr1_102720946
Chr1,56073,Chr1_56073
Chr1,102953182,Chr1_102953182
Chr1,10258464,Chr1_10258464
Chr1,10258544,Chr1_10258544
Chr1,103280517,Chr1_103280517
Chr1,103280634,Chr1_103280634
Chr1,103280732,Chr1_103280732
Chr1,103280916,Chr1_103280916
Chr1,103280917,Chr1_103280917
Chr1,103281017,Chr1_103281017
Chr1,103281339,Chr1_103281339
Chr1,103281345,Chr1_103281345
Chr1,103281423,Chr1_103281423
Chr1,103281501,Chr1_103281501
Chr1,103283590,Chr1_103283590
Chr1,10261587,Chr1_10261587
Chr1,10261609,Chr1_10261609
Chr1,10261786,Chr1_10261786
Chr1,10261800,Chr1_10261800
Chr1,10261833,Chr1_10261833
Chr1,10261937,Chr1_10261937
Chr1,10265503,Chr1_10265503
Chr1,10265546,Chr1_10265546
Chr1,10265631,Chr1_10265631
Chr1,103634707,Chr1_103634707
Chr1,103636901,Chr1_103636901
Chr1,103637773,Chr1_103637773
Chr1,104120315,Chr1_104120315
Chr1,104121862,Chr1_104121862
Chr1,104121928,Chr1_104121928
Chr1,104172692,Chr1_104172692
Chr1,104669941,Chr1_104669941
Chr1,104670029,Chr1_104670029
Chr1,104673451,Chr1_104673451
Chr1,10349365,Chr1_10349365
Chr1,10349730,Chr1_10349730
Chr1,10349746,Chr1_10349746
Chr1,10349993,Chr1_10349993
Chr1,10351192,Chr1_10351192
Chr1,104849718,Chr1_104849718
Chr1,104852148,Chr1_104852148
Chr1,10358053,Chr1_10358053
Chr1,105037596,Chr1_105037596
Chr1,105182476,Chr1_105182476
Chr1,105182696,Chr1_105182696
Chr1,105183863,Chr1_105183863
Chr1,105185534,Chr1_105185534
Chr1,105185573,Chr1_105185573
Chr1,105185764,Chr1_105185764
Chr1,105553059,Chr1_105553059
Chr1,105553172,Chr1_105553172
Chr1,105554090,Chr1_105554090
Chr1,105554114,Chr1_105554114
Chr1,105554428,Chr1_105554428
Chr1,105700447,Chr1_105700447
Chr1,105700617,Chr1_105700617
Chr1,105700968,Chr1_105700968
Chr1,105701417,Chr1_105701417
Chr1,105701598,Chr1_105701598
Chr1,105701677,Chr1_105701677
Chr1,105701684,Chr1_105701684
Chr1,105701709,Chr1_105701709
Chr1,105701896,Chr1_105701896
Chr1,105701935,Chr1_105701935
Chr1,105701971,Chr1_105701971
Chr1,105863497,Chr1_105863497
Chr1,105863586,Chr1_105863586
Chr1,105863660,Chr1_105863660
Chr1,105863742,Chr1_105863742
Chr1,105865690,Chr1_105865690
Chr1,106379301,Chr1_106379301
Chr1,106379431,Chr1_106379431
Chr1,106381275,Chr1_106381275
Chr1,106381695,Chr1_106381695
Chr1,1070752,Chr1_1070752
Chr1,1071977,Chr1_1071977
Chr1,1072279,Chr1_1072279
Chr1,1072685,Chr1_1072685
Chr1,10576498,Chr1_10576498
Chr1,107088987,Chr1_107088987
Chr1,107182477,Chr1_107182477
Chr1,107182940,Chr1_107182940
Chr1,107332756,Chr1_107332756
Chr1,107333340,Chr1_107333340
Chr1,107337283,Chr1_107337283
Chr1,107337895,Chr1_107337895
Chr1,107682243,Chr1_107682243
Chr1,107682371,Chr1_107682371
Chr1,107684664,Chr1_107684664
Chr1,107685754,Chr1_107685754
Chr1,107685775,Chr1_107685775
Chr1,107685947,Chr1_107685947
Chr1,107763107,Chr1_107763107
Chr1,107763171,Chr1_107763171
Chr1,107763330,Chr1_107763330
Chr1,107763363,Chr1_107763363
Chr1,107765172,Chr1_107765172
Chr1,107865963,Chr1_107865963
Chr1,107866101,Chr1_107866101
Chr1,107867124,Chr1_107867124
Chr1,10617730,Chr1_10617730
Chr1,10617424,Chr1_10617424
Chr1,10616647,Chr1_10616647
Chr1,10616614,Chr1_10616614
Chr1,10614911,Chr1_10614911
Chr1,108004399,Chr1_108004399
Chr1,108004433,Chr1_108004433
Chr1,108004448,Chr1_108004448
Chr1,108193895,Chr1_108193895
Chr1,108197528,Chr1_108197528
Chr1,108201249,Chr1_108201249
Chr1,108201276,Chr1_108201276
Chr1,108208915,Chr1_108208915
Chr1,108283137,Chr1_108283137
Chr1,108284541,Chr1_108284541
Chr1,108285517,Chr1_108285517
Chr1,108285571,Chr1_108285571
Chr1,108285791,Chr1_108285791
Chr1,108288345,Chr1_108288345
Chr1,108288678,Chr1_108288678
Chr1,108288742,Chr1_108288742
Chr1,10758987,Chr1_10758987
Chr1,10759086,Chr1_10759086
Chr1,108663760,Chr1_108663760
Chr1,108663843,Chr1_108663843
Chr1,108664005,Chr1_108664005
Chr1,108718168,Chr1_108718168
Chr1,108718255,Chr1_108718255
Chr1,109046118,Chr1_109046118
Chr1,109046141,Chr1_109046141
Chr1,109046486,Chr1_109046486
Chr1,109046928,Chr1_109046928
Chr1,109047089,Chr1_109047089
Chr1,109047140,Chr1_109047140
Chr1,109047972,Chr1_109047972
Chr1,109047982,Chr1_109047982
Chr1,109048293,Chr1_109048293
Chr1,109048394,Chr1_109048394
Chr1,10854433,Chr1_10854433
Chr1,10854504,Chr1_10854504
Chr1,10854555,Chr1_10854555
Chr1,10854721,Chr1_10854721
Chr1,10855591,Chr1_10855591
Chr1,10857000,Chr1_10857000
Chr1,10857117,Chr1_10857117
Chr1,109472904,Chr1_109472904
Chr1,109472766,Chr1_109472766
Chr1,109472149,Chr1_109472149
Chr1,109471906,Chr1_109471906
Chr1,109471708,Chr1_109471708
Chr1,109471521,Chr1_109471521
Chr1,109469995,Chr1_109469995
Chr1,109469754,Chr1_109469754
Chr1,109469752,Chr1_109469752
Chr1,109469742,Chr1_109469742
Chr1,109420936,Chr1_109420936
Chr1,109420191,Chr1_109420191
Chr1,109420032,Chr1_109420032
Chr1,109419797,Chr1_109419797
Chr1,109419705,Chr1_109419705
Chr1,109419690,Chr1_109419690
Chr1,109419662,Chr1_109419662
Chr1,109419600,Chr1_109419600
Chr1,109419432,Chr1_109419432
Chr1,109419351,Chr1_109419351
Chr1,109418675,Chr1_109418675
Chr1,109418668,Chr1_109418668
Chr1,109418642,Chr1_109418642
Chr1,109412487,Chr1_109412487
Chr1,10876553,Chr1_10876553
Chr1,10876783,Chr1_10876783
Chr1,10876926,Chr1_10876926
Chr1,10877026,Chr1_10877026
Chr1,10877393,Chr1_10877393
Chr1,109743758,Chr1_109743758
Chr1,109743938,Chr1_109743938
Chr1,109744033,Chr1_109744033
Chr1,109744123,Chr1_109744123
Chr1,109744131,Chr1_109744131
Chr1,109744683,Chr1_109744683
Chr1,109744817,Chr1_109744817
Chr1,109744861,Chr1_109744861
Chr1,109744986,Chr1_109744986
Chr1,109847736,Chr1_109847736
Chr1,109861210,Chr1_109861210
Chr1,109864130,Chr1_109864130
Chr1,109864622,Chr1_109864622
Chr1,109865539,Chr1_109865539
Chr1,109865650,Chr1_109865650
Chr1,109868258,Chr1_109868258
Chr1,109868565,Chr1_109868565
Chr1,109868892,Chr1_109868892
Chr1,109869810,Chr1_109869810
Chr1,109869855,Chr1_109869855
Chr1,110003025,Chr1_110003025
Chr1,110003034,Chr1_110003034
Chr1,110004328,Chr1_110004328
Chr1,110004343,Chr1_110004343
Chr1,110004534,Chr1_110004534
Chr1,110004564,Chr1_110004564
Chr1,110004679,Chr1_110004679
Chr1,110004950,Chr1_110004950
Chr1,110005482,Chr1_110005482
